CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
45402,2026-02-24,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,CLIENTE ENTERADO CAMBIO DE ACOMETIDA DAVID E,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,XPONDD5FF3D4,AC,INT20,,XPONDD5FF3D4,,0,45402,-26.853493589743586
333710,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,3PLAY 5GB,SIN SEÑAL AMBOS SERVICIOS,JV SE ATENDIO CON EL TECNICO,2026-02-26,1501451,ACTIVO,VIRREY,XPONDD2BE5F8,nan,nan,,nan,,2,333710,-29.755127976190643
37786,2026-02-24,EQUIPO DA?ADO,INTERNET FIBRA 75MB,CAMBIO SIN COSTO TIT ENTERADA,nan,2026-02-24,1500285,ACTIVO,VIRREY,485754432B0B6051,AC,INT30,2021-05-03,485754432B0B6051,1758.0,0,37786,-24.651953869047613
346700,2026-02-24,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,CLIENTE ENTERADO SIN COSTO PIDE DAVID,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,XPONDD4C53FA,AC,INT20,2016-08-01,XPONDD4C53FA,3494.0,0,346700,-34.23364725163885
44104,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-26,1500047,ACTIVO,MADERO,XPONDD4C5362,AC,INT20,2024-06-03,XPONDD4C5362,631.0,2,44104,-26.96482196969702
44410,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 150MB,LOS ROJO,nan,2026-02-26,1500039,ACTIVO,PERIODISMO,nan,AC,INT100,2024-02-07,nan,748.0,2,44410,-27.768806209850045
343435,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,LOS ROJO,nan,2026-02-26,1500039,ACTIVO,PERIODISMO,XPONDD3FBB2F,AC,BASINT50,2023-05-08,XPONDD3FBB2F,1023.0,2,343435,-29.586607780157106
43275,2026-02-24,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-25,1500374,ACTIVO,BELO,XPONDD439C1B,AC,BASINTF250,,XPONDD439C1B,,1,43275,-22.674154984423676
43275,2026-02-24,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-25,1500374,ACTIVO,BELO,XPONDD439C1B,AC,BASINTF250,,XPONDD439C1B,,1,43275,-22.674154984423676
41848,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-25,1500374,ACTIVO,VIRREY,XPONDD353882,AC,BASINT20,,XPONDD353882,,1,41848,-31.373650297618976
43575,2026-02-24,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,nan,2026-02-25,1500374,ACTIVO,VIRREY,OPTI3387CF6D,AC,INT20,,OPTI3387CF6D,,1,43575,-20.296547619047647
345457,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),AMBOS SERVICIOS,nan,2026-02-26,1500039,ACTIVO,PEDREGAL,HWTCAF3AC8F2,AC,BASINTF250,,HWTCAF3AC8F2,,2,345457,-21.38117120524458
37126,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-25,1500374,ACTIVO,VIRREY,4857544348B57093,AC,INT20,,4857544348B57093,,1,37126,-26.46057291666683
37550,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-25,1500374,ACTIVO,VIRREY,XPONDD3FCA67,AC,INT30,,XPONDD3FCA67,,1,37550,-23.96474107142867
37965,2026-02-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,LOS ROJO,JV SE ATENDIO CON EL TECNICO,2026-02-26,1501451,ACTIVO,VIRREY,XPONDD42BC83,AC,INT50,,XPONDD42BC83,,1,37965,-23.90883482142874
4300,2026-02-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SE VA LA SEÑAL CONSTANTEMENTE,nan,2026-02-27,1500039,ACTIVO,PEDREGAL,XPONDD2C0116,AC,BASINT20,,XPONDD2C0116,,2,4300,-19.552781139687355
345116,2026-02-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,CABLE REVENTADO,nan,2026-02-26,1500285,ACTIVO,BELO,XPONDD39529C,AC,BASINT20,2014-01-07,XPONDD39529C,4432.0,1,345116,-20.3793574766355
28226,2026-02-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-27,1500039,ACTIVO,PERIODISMO,HWTCAF9132A9,AC,BASINTF250,,HWTCAF9132A9,,2,28226,-28.973256602426797
33569,2026-02-25,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET NAVEGA (NO VIGENTE),PIDE VISITA POR FALLAS CONTANTES,nan,2026-02-26,1500047,ACTIVO,MADERO,E091F5DF5878,AC,IESE,,E091F5DF5878,,1,nan,
44676,2026-02-25,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,FUERA DE LINEA,nan,2026-02-27,1500039,ACTIVO,PEDREGAL,XPONDD531924,AC,INT20,2024-02-10,XPONDD531924,746.0,2,44676,-34.082975289964544
