CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg,serial_number,ont_model,software_version,description
15882,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),SOLO PRENDE PWR,nan,2026-02-20,1501465,ACTIVO,PERIODISMO,HTWCAFAB5623,AC,BASINT10,,HTWCAFAB5623,,1,15882,-25.189807692307703,48575443AFAB5623,CNA-ONU-4GE2WXCA,V1.7.1,42991
28241,2026-02-19,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 45MB (NO VIGENTE),LEDS UPST APAGADO Y DOWH PARPADEA NO NAVEGA,nan,2026-02-24,1500039,ACTIVO,PERIODISMO,XPONDD530AF4,AC,INT10,2016-03-10,XPONDD530AF4,3633.0,5,28241,-24.88911458333333,58504F4EDD530AF4,MN-WIFI2,V1.7.1,335433
40339,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-21,1500039,ACTIVO,PERIODISMO,485754436BD79A8B,AC,INT20,,485754436BD79A8B,,2,40339,-26.059379014989254,485754436BD79A8B,546M,V3R016C10S130,38501
40331,2026-02-19,MODEM DAÑADO/PERDIDO (COBRO),INTERNET FIBRA 75MB,nan,nan,2026-02-20,1500047,BAJA,MADERO,nan,BA,INT30,,nan,,1,40331,-24.707098009188478,48575443D23E2B8B,CNA-ONU-4GE2WXCA,V1.7.1,5863
33093,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,nan,2026-02-20,1500047,ACTIVO,PRADOS VERDES,XPONDD32F156,AC,INT10,,XPONDD32F156,,1,33093,-35.18995022970921,58504F4EDD32F156,MN-CATV2,V1.7.1,40481
26158,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-20,1500374,ACTIVO,VIRREY,XPONDD7EB29E,AC,BASINTF250,2025-11-11,XPONDD7EB29E,100.0,1,26158,-23.09801041666684,58504F4EDD7EB29E,MN-CATVDUALM,V1R007C00S001,46084
42112,2026-02-19,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,TEC SOLICITA,nan,2026-02-19,1500039,ACTIVO,PEDREGAL,XPONDD3E6F9D,AC,INT20,,XPONDD3E6F9D,,0,42112,-21.87566944024205,58504F4EDD3E6F9D,MN-WIFI2,V1.7.1,29210
41163,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-21,1500039,ACTIVO,PERIODISMO,48575443B81E3D9D,AC,INT20,,48575443B81E3D9D,,2,41163,-23.435051748750865,48575443B81E3D9D,HG8546M,V5R019C00S050,42112
32930,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,REQUIERE VISITA,nan,2026-02-20,1501465,ACTIVO,PERIODISMO,XPONDD353982,AC,BASINT20,2017-08-12,XPONDD353982,3113.0,1,32930,-24.489959207459165,58504F4EDD353982,MN-CATV2,V1.7.1,5222
42238,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-21,1500039,ACTIVO,PERIODISMO,HWTCAFAA0935,AC,INT20,,HWTCAFAA0935,,2,42238,-27.586241970021554,48575443AFAA0935,CNA-ONU-4GE2WX,V1.7.1,15858
43499,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS  ROJO AMBOS SERVICIOS,nan,2026-02-20,1500047,CORTESIA,PRADOS VERDES,XPONDD459FB2,nan,nan,,nan,,1,43499,-35.446886166411346,58504F4EDD459FB2,MN-CATV2,V1.7.1,39549
335804,2026-02-19,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,SIN SEÑAL,nan,2026-02-20,1500047,ACTIVO,MADERO,XPONDD530004,AC,INT20,,XPONDD530004,,1,335804,-30.919614898989746,58504F4EDD530004,MN-WIFI2,V1.7.1,15882
39409,2026-02-20,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-21,1500039,ACTIVO,PEDREGAL,485754435705E76F,AC,INT20,,485754435705E76F,,1,39409,-20.98165518121491,485754435705E76F,546M,V3R017C10S125,28241
5824,2026-02-20,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),TIENE VARIAS DESCONEXIONES RECIENTES SE RECOMIENDA VISITA,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,HWTC50025C2E,AC,BASINTF250,,HWTC50025C2E,,4,5824,-27.04228819969744,4857544350025C2E,CNA-ONU-2GE2WXCA,V1.7.1,40339
5572,2026-02-20,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SIN SEÑAL AMBOS SERVICIOS,nan,2026-02-22,1500039,ACTIVO,PEDREGAL,XPONDD590CC0,AC,BASINT20,,XPONDD590CC0,,2,5572,-22.37295133635906,58504F4EDD590CC0,MN-CATV2,V1.7.1,nan
42238,2026-02-20,EQUIPO DA?ADO,INTERNET FIBRA 60MB,CLIENTE ENTERADO CAMBIO DE EQUIPO SIN COSTO DAVID E,nan,2026-02-22,1500039,ACTIVO,PERIODISMO,HWTCAFAA0935,AC,INT20,,HWTCAFAA0935,,2,42238,-27.586241970021554,48575443AFAA0935,CNA-ONU-4GE2WX,V1.7.1,33093
