CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION,PROBABILIDAD_RIESGO,PREDICCION_ABANDONO
372,2026-03-25,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,nan,2026-03-25,1500047,ACTIVO,MADERO,XPONDD919C86,AC,BASINTF250,,,0.0,-25.145187654321038,58504F4EDD919C86,MN-CATVDUALM,V1R007C00S001,0.0838841,0
372,2026-03-25,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,nan,2026-03-25,1500047,ACTIVO,MADERO,XPONDD919C86,AC,BASINTF250,,,0.0,-25.145187654321038,58504F4EDD919C86,MN-CATVDUALM,V1R007C00S001,0.0838841,0
35926,2026-03-25,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 45MB (NO VIGENTE),nan,"GT,CAIDA DE NIVEL",2026-03-25,1500047,ACTIVO,PRADOS VERDES,HWTCAF3FE254,AC,INT10,2021-09-03,1664.0,0.0,-20.97991234567895,48575443AF3FE254,CNA-ONU-4GE2WX,V1.7.1,0.076272234,0
346183,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),FOCO ROJO,GT.OFFLINE,2026-03-25,1500047,ACTIVO,PRADOS VERDES,OPTI37B0A8C5,AC,BASINTF250,,,0.0,-22.074223209876507,485754435002AF86,CNA-ONU-2GE2WXCA,V1.7.1,0.076272234,0
334144,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SIN SEÑAL EN AMBOS SERV || EDWIN ||,GT.PRESENTO DESCONEXION,2026-03-29,5555555,ACTIVO,VIRREY,XPONDD4C797A,AC,BASINT20,,,4.0,-25.319857274401503,58504F4EDD4C797A,MN-CATV2,V1.7.1,0.076272234,0
46486,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO INTERNET,GT.OFFLINE,2026-03-25,1500047,ACTIVO,MADERO,CDTCAFA3B282,AC,BASINTF250,2026-06-02,-69.0,0.0,-24.533893333333403,43445443AFA3B282,FD712GD-R850,V1.7.1,0.0838841,0
44006,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,FOCO ROJO,"ER, REQUIERE VISITA",2026-03-26,1500039,ACTIVO,PEDREGAL,XPONDD4C79BA,AC,BASINT30,,,1.0,-21.902905604719763,58504F4EDD4C79BA,MN-CATV2,V1.7.1,0.076272234,0
37429,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,"ER, FUERA DE LINEA",2026-03-26,1500039,ACTIVO,PERIODISMO,XPONDD439B43,AC,INT20,,,1.0,-29.036714480874352,58504F4EDD439B43,MN-WIFI2,V1.7.1,0.076272234,0
349012,2026-03-25,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 250MB ($399),TIT ACEPTA CAMBIO DE ACOMETIDA SIN COSTO TEC JORGE,nan,2026-03-26,1500046,ACTIVO,PEDREGAL,HWTCAFAB608B,AC,BASINTF250,2016-07-12,3543.0,1.0,-27.868598820059006,48575443AFAB608B,CNA-ONU-4GE2WXCA,V1.7.1,0.076272234,0
4300,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),QUEDO CON FALLA,"ER, REQUIERE VISITA",2026-03-26,1500039,ACTIVO,PEDREGAL,HWTC50026546,AC,BASINTF250,,,1.0,-21.26496066863324,4857544350026546,CNA-ONU-2GE2WXCA,V1.7.1,0.076272234,0
